visit_id,date,item_id,item_name,type,pairing_tag,price,profit
V000001,2026-02-01,M06,香煎鮭魚佐檸檬,主食,Seafood,460.0,193.2
V000001,2026-02-01,M02,爐烤伊比利豬肩,主食,Red_Meat,520.0,197.6
V000001,2026-02-01,M06,香煎鮭魚佐檸檬,主食,Seafood,460.0,193.2
V000001,2026-02-01,S06,酥炸花枝圈,副食,Fried,220.0,154.0
V000001,2026-02-01,S05,松露薯條,副食,Fried,180.0,129.6
V000001,2026-02-01,W06,Negroni,酒水,Cheese,350.0,266.0
V000001,2026-02-01,W11,威士忌 Highball,酒水,Cheese,300.0,222.0
V000001,2026-02-01,W05,氣泡酒(杯),酒水,Fried,300.0,189.0
V000001,2026-02-01,W07,Old Fashioned,酒水,Red_Meat,380.0,285.0
V000002,2026-02-01,M01,舒肥紅酒燉牛肉,主食,Red_Meat,480.0,192.0
V000002,2026-02-01,S06,酥炸花枝圈,副食,Fried,220.0,154.0
V000002,2026-02-01,S02,西班牙蒜辣蝦,副食,Seafood,260.0,176.8
V000002,2026-02-01,S04,三種起司拼盤,副食,Cheese,340.0,224.4
V000002,2026-02-01,W06,Negroni,酒水,Cheese,350.0,266.0
V000002,2026-02-01,W03,夏多內白酒(杯),酒水,Seafood,260.0,161.2
V000002,2026-02-01,W11,威士忌 Highball,酒水,Cheese,300.0,222.0
V000002,2026-02-01,W06,Negroni,酒水,Cheese,350.0,266.0
V000002,2026-02-01,W07,Old Fashioned,酒水,Red_Meat,380.0,285.0
V000003,2026-02-01,M05,白酒蛤蜊義大利麵,主食,Seafood,380.0,167.2
V000003,2026-02-01,S04,三種起司拼盤,副食,Cheese,340.0,224.4
V000003,2026-02-01,S05,松露薯條,副食,Fried,180.0,129.6
V000003,2026-02-01,D02,焦糖烤布蕾,甜點,Dessert,160.0,107.2
V000003,2026-02-01,W12,季節水果特調,酒水,Universal,340.0,261.8
V000004,2026-02-01,M03,炭烤戰斧牛排,主食,Red_Meat,880.0,308.0
V000004,2026-02-01,S06,酥炸花枝圈,副食,Fried,220.0,154.0
V000004,2026-02-01,S02,西班牙蒜辣蝦,副食,Seafood,260.0,176.8
V000004,2026-02-01,D02,焦糖烤布蕾,甜點,Dessert,160.0,107.2
V000004,2026-02-01,W01,馬爾貝克紅酒(杯),酒水,Red_Meat,280.0,173.6
V000004,2026-02-01,W10,小麥白啤酒,酒水,Fried,240.0,136.8
V000004,2026-02-01,W02,卡本內蘇維翁(杯),酒水,Red_Meat,320.0,192.0
V000004,2026-02-01,W13,無酒精莫吉托,酒水,Universal,180.0,144.0
V000004,2026-02-01,W05,氣泡酒(杯),酒水,Fried,300.0,189.0
V000004,2026-02-01,W08,Gin & Tonic,酒水,Universal,300.0,234.0
V000004,2026-02-01,W06,Negroni,酒水,Cheese,350.0,266.0
V000005,2026-02-01,M06,香煎鮭魚佐檸檬,主食,Seafood,460.0,193.2
V000005,2026-02-01,S06,酥炸花枝圈,副食,Fried,220.0,154.0
V000005,2026-02-01,S02,西班牙蒜辣蝦,副食,Seafood,260.0,176.8
V000005,2026-02-01,S01,紹興油泡蝦,副食,Seafood,280.0,196.0
V000005,2026-02-01,S01,紹興油泡蝦,副食,Seafood,280.0,196.0
V000005,2026-02-01,W09,精釀 IPA,酒水,Fried,260.0,150.8
V000005,2026-02-01,W08,Gin & Tonic,酒水,Universal,300.0,234.0
V000005,2026-02-01,W12,季節水果特調,酒水,Universal,340.0,261.8
V000006,2026-02-01,M02,爐烤伊比利豬肩,主食,Red_Meat,520.0,197.6
V000006,2026-02-01,M02,爐烤伊比利豬肩,主食,Red_Meat,520.0,197.6
V000006,2026-02-01,S05,松露薯條,副食,Fried,180.0,129.6
V000006,2026-02-01,W03,夏多內白酒(杯),酒水,Seafood,260.0,161.2
V000006,2026-02-01,W12,季節水果特調,酒水,Universal,340.0,261.8
V000007,2026-02-01,M05,白酒蛤蜊義大利麵,主食,Seafood,380.0,167.2
V000007,2026-02-01,W03,夏多內白酒(杯),酒水,Seafood,260.0,161.2
V000007,2026-02-01,W04,白蘇維翁(杯),酒水,Seafood,280.0,170.8
V000008,2026-02-01,M01,舒肥紅酒燉牛肉,主食,Red_Meat,480.0,192.0
V000008,2026-02-01,S02,西班牙蒜辣蝦,副食,Seafood,260.0,176.8
