visit_id,customer_id,date,weekday,is_weekend,arrival_hour,is_buzz_hour,party_size,duration_min,is_repeat,n_items,n_food,n_drink,food_revenue,drink_revenue,total_revenue,total_profit,drink_ratio,spend_per_head
V000001,C00142,2026-02-01,6,0,20,0,4,124,1,9,5,4,1840.0,1330.0,3170.0,1829.6,0.4196,792.5
V000002,C00147,2026-02-01,6,0,22,1,2,113,1,9,4,5,1300.0,1640.0,2940.0,1947.4,0.5578,1470.0
V000003,C00779,2026-02-01,6,0,19,0,1,74,0,5,4,1,1060.0,340.0,1400.0,890.2,0.2429,1400.0
V000004,C00093,2026-02-01,6,0,21,1,3,131,1,11,4,7,1520.0,1970.0,3490.0,2081.4,0.5645,1163.3
V000005,C00091,2026-02-01,6,0,21,1,2,62,1,8,5,3,1500.0,900.0,2400.0,1562.6,0.375,1200.0
V000006,C01047,2026-02-01,6,0,20,0,3,130,0,5,3,2,1220.0,600.0,1820.0,947.8,0.3297,606.7
V000007,C00644,2026-02-01,6,0,21,1,1,50,0,3,1,2,380.0,540.0,920.0,499.2,0.587,920.0
V000008,C00832,2026-02-01,6,0,20,0,1,94,0,4,2,2,740.0,700.0,1440.0,845.8,0.4861,1440.0
V000009,C00766,2026-02-01,6,0,17,0,3,144,0,15,5,10,1780.0,2960.0,4740.0,2966.6,0.6245,1580.0
V000010,C00075,2026-02-01,6,0,20,0,2,86,1,3,2,1,940.0,280.0,1220.0,556.0,0.2295,610.0
V000011,C00153,2026-02-01,6,0,22,1,3,111,1,9,5,4,1600.0,1140.0,2740.0,1745.2,0.4161,913.3
V000012,C00090,2026-02-01,6,0,18,0,4,82,1,10,7,3,2540.0,900.0,3440.0,1923.0,0.2616,860.0
V000013,C00083,2026-02-01,6,0,18,0,5,122,1,12,5,7,1880.0,2220.0,4100.0,2375.4,0.5415,820.0
V000014,C00529,2026-02-01,6,0,23,1,1,113,0,5,3,2,880.0,560.0,1440.0,975.4,0.3889,1440.0
V000015,C00815,2026-02-01,6,0,20,0,2,122,0,5,3,2,1220.0,520.0,1740.0,848.0,0.2989,870.0
V000016,C00161,2026-02-03,1,0,21,1,2,125,1,3,1,2,380.0,580.0,960.0,562.8,0.6042,480.0
V000017,C01275,2026-02-03,1,0,22,1,2,116,0,8,2,6,720.0,1700.0,2420.0,1508.2,0.7025,1210.0
V000018,C00181,2026-02-03,1,0,19,0,5,117,1,16,5,11,2340.0,3090.0,5430.0,3186.4,0.5691,1086.0
V000019,C00943,2026-02-03,1,0,18,0,6,104,0,9,7,2,2660.0,660.0,3320.0,1676.2,0.1988,553.3
V000020,C01315,2026-02-03,1,0,19,0,4,82,0,10,6,4,2100.0,1120.0,3220.0,1750.4,0.3478,805.0
V000021,C00166,2026-02-03,1,0,18,0,5,63,1,14,9,5,3040.0,1590.0,4630.0,2789.8,0.3434,926.0
V000022,C01264,2026-02-03,1,0,20,0,2,35,0,3,2,1,860.0,300.0,1160.0,661.0,0.2586,580.0
V000023,C00842,2026-02-03,1,0,19,0,4,127,0,13,10,3,3900.0,860.0,4760.0,2529.8,0.1807,1190.0
V000024,C00811,2026-02-04,2,0,18,0,3,49,0,7,7,0,2820.0,0.0,2820.0,1378.0,0.0,940.0
V000025,C00486,2026-02-04,2,0,18,0,4,142,0,10,7,3,2640.0,740.0,3380.0,1850.6,0.2189,845.0
V000026,C00802,2026-02-04,2,0,18,0,2,56,0,6,4,2,1340.0,640.0,1980.0,1096.0,0.3232,990.0
V000027,C01185,2026-02-04,2,0,21,1,4,89,0,9,5,4,1500.0,1210.0,2710.0,1742.0,0.4465,677.5
V000028,C00943,2026-02-04,2,0,22,1,4,59,0,9,4,5,1400.0,1440.0,2840.0,1647.6,0.507,710.0
V000030,C01268,2026-02-04,2,0,18,0,3,51,0,8,6,2,2100.0,480.0,2580.0,1394.8,0.186,860.0
V000031,C01244,2026-02-04,2,0,19,0,4,141,0,14,7,7,2880.0,2100.0,4980.0,2861.0,0.4217,1245.0
V000032,C00640,2026-02-04,2,0,20,0,6,121,0,22,10,12,3800.0,3430.0,7230.0,4186.6,0.4744,1205.0
V000033,C00518,2026-02-04,2,0,21,1,2,114,0,1,1,0,880.0,0.0,880.0,308.0,0.0,440.0
V000034,C00865,2026-02-04,2,0,20,0,2,37,0,4,4,0,1340.0,0.0,1340.0,692.0,0.0,670.0
