antecedent,antecedent_id,consequent,consequent_id,support,confidence,lift,unit_profit,expected_profit
舒肥紅酒燉牛肉,M01,Old Fashioned,W07,0.0811,0.3168,1.293,285.0,90.3
爐烤伊比利豬肩,M02,Old Fashioned,W07,0.0811,0.3128,1.276,285.0,89.1
炭烤戰斧牛排,M03,Old Fashioned,W07,0.0795,0.3006,1.227,285.0,85.7
炙燒櫛瓜佐油醋,S07,Old Fashioned,W07,0.0817,0.2721,1.11,285.0,77.5
松露野菌燉飯,M04,Negroni,W06,0.0723,0.2867,1.267,266.0,76.2
三種起司拼盤,S04,Old Fashioned,W07,0.0745,0.2647,1.08,285.0,75.4
伊比利火腿盤,S03,Old Fashioned,W07,0.0745,0.2647,1.08,285.0,75.4
炭烤戰斧牛排,M03,Negroni,W06,0.0745,0.2818,1.246,266.0,75.0
伊比利火腿盤,S03,Negroni,W06,0.0784,0.2784,1.231,266.0,74.1
松露野菌燉飯,M04,Old Fashioned,W07,0.0651,0.2582,1.054,285.0,73.6
西班牙蒜辣蝦,S02,Old Fashioned,W07,0.0673,0.2475,1.01,285.0,70.5
酥炸花枝圈,S06,Old Fashioned,W07,0.0673,0.2455,1.002,285.0,70.0
紹興油泡蝦,S01,Old Fashioned,W07,0.0712,0.2416,0.986,285.0,68.8
三種起司拼盤,S04,Negroni,W06,0.0717,0.2549,1.127,266.0,67.8
香煎鮭魚佐檸檬,M06,白蘇維翁(杯),W04,0.1021,0.3936,1.377,170.8,67.2
香煎鮭魚佐檸檬,M06,Old Fashioned,W07,0.0607,0.234,0.955,285.0,66.7
炙燒櫛瓜佐油醋,S07,Negroni,W06,0.0745,0.2482,1.097,266.0,66.0
西班牙蒜辣蝦,S02,白蘇維翁(杯),W04,0.1049,0.3854,1.348,170.8,65.8
香煎鮭魚佐檸檬,M06,夏多內白酒(杯),W03,0.1054,0.4064,1.341,161.2,65.5
爐烤伊比利豬肩,M02,卡本內蘇維翁(杯),W02,0.0877,0.3383,1.33,192.0,65.0
炙燒櫛瓜佐油醋,S07,季節水果特調,W12,0.0745,0.2482,1.319,261.8,65.0
舒肥紅酒燉牛肉,M01,卡本內蘇維翁(杯),W02,0.0866,0.3384,1.33,192.0,65.0
炭烤戰斧牛排,M03,卡本內蘇維翁(杯),W02,0.0889,0.3361,1.321,192.0,64.5
白酒蛤蜊義大利麵,M05,白蘇維翁(杯),W04,0.0971,0.3761,1.316,170.8,64.2
酥炸花枝圈,S06,Negroni,W06,0.0662,0.2414,1.067,266.0,64.2
爐烤伊比利豬肩,M02,Negroni,W06,0.0624,0.2404,1.063,266.0,64.0
紹興油泡蝦,S01,夏多內白酒(杯),W03,0.117,0.397,1.31,161.2,64.0
西班牙蒜辣蝦,S02,夏多內白酒(杯),W03,0.1071,0.3935,1.299,161.2,63.4
紹興油泡蝦,S01,白蘇維翁(杯),W04,0.1082,0.367,1.284,170.8,62.7
松露薯條,S05,Old Fashioned,W07,0.0646,0.2199,0.898,285.0,62.7
白酒蛤蜊義大利麵,M05,Old Fashioned,W07,0.0557,0.2158,0.881,285.0,61.5
西班牙蒜辣蝦,S02,Negroni,W06,0.0629,0.2312,1.022,266.0,61.5
白酒蛤蜊義大利麵,M05,夏多內白酒(杯),W03,0.0971,0.3761,1.241,161.2,60.6
松露野菌燉飯,M04,威士忌 Highball,W11,0.0684,0.2713,1.318,222.0,60.2
香煎鮭魚佐檸檬,M06,Negroni,W06,0.0579,0.2234,0.987,266.0,59.4
伊比利火腿盤,S03,威士忌 Highball,W11,0.0751,0.2667,1.295,222.0,59.2
三種起司拼盤,S04,威士忌 Highball,W11,0.0751,0.2667,1.295,222.0,59.2
爐烤伊比利豬肩,M02,馬爾貝克紅酒(杯),W01,0.0883,0.3404,1.38,173.6,59.1
白酒蛤蜊義大利麵,M05,Negroni,W06,0.0574,0.2222,0.982,266.0,59.1
伊比利火腿盤,S03,卡本內蘇維翁(杯),W02,0.0861,0.3059,1.202,192.0,58.7
松露薯條,S05,季節水果特調,W12,0.0657,0.2237,1.189,261.8,58.6
松露野菌燉飯,M04,季節水果特調,W12,0.0563,0.2232,1.186,261.8,58.4
松露薯條,S05,Negroni,W06,0.064,0.218,0.964,266.0,58.0
爐烤伊比利豬肩,M02,季節水果特調,W12,0.0563,0.217,1.153,261.8,56.8
炭烤戰斧牛排,M03,馬爾貝克紅酒(杯),W01,0.0855,0.3236,1.312,173.6,56.2
三種起司拼盤,S04,卡本內蘇維翁(杯),W02,0.0811,0.2882,1.133,192.0,55.3
西班牙蒜辣蝦,S02,季節水果特調,W12,0.0574,0.211,1.121,261.8,55.2
炙燒櫛瓜佐油醋,S07,卡本內蘇維翁(杯),W02,0.0861,0.2868,1.127,192.0,55.1
紹興油泡蝦,S01,Negroni,W06,0.0602,0.2041,0.902,266.0,54.3
炭烤戰斧牛排,M03,季節水果特調,W12,0.0541,0.2046,1.087,261.8,53.6
舒肥紅酒燉牛肉,M01,馬爾貝克紅酒(杯),W01,0.0784,0.306,1.241,173.6,53.1
炙燒櫛瓜佐油醋,S07,白蘇維翁(杯),W04,0.0933,0.3107,1.087,170.8,53.1
松露野菌燉飯,M04,卡本內蘇維翁(杯),W02,0.0695,0.2757,1.084,192.0,52.9
酥炸花枝圈,S06,季節水果特調,W12,0.0552,0.2012,1.069,261.8,52.7
舒肥紅酒燉牛肉,M01,Negroni,W06,0.0508,0.1983,0.876,266.0,52.7
炙燒櫛瓜佐油醋,S07,Gin & Tonic,W08,0.0668,0.2224,1.3,234.0,52.0
松露野菌燉飯,M04,夏多內白酒(杯),W03,0.0811,0.3217,1.062,161.2,51.9
香煎鮭魚佐檸檬,M06,季節水果特調,W12,0.0513,0.1979,1.051,261.8,51.8
松露薯條,S05,卡本內蘇維翁(杯),W02,0.0789,0.2688,1.057,192.0,51.6
酥炸花枝圈,S06,夏多內白酒(杯),W03,0.0866,0.3159,1.043,161.2,50.9
舒肥紅酒燉牛肉,M01,威士忌 Highball,W11,0.0585,0.2284,1.11,222.0,50.7
舒肥紅酒燉牛肉,M01,白蘇維翁(杯),W04,0.0756,0.2953,1.033,170.8,50.4
酥炸花枝圈,S06,白蘇維翁(杯),W04,0.0806,0.2938,1.028,170.8,50.2
炭烤戰斧牛排,M03,白蘇維翁(杯),W04,0.0773,0.2923,1.022,170.8,49.9
伊比利火腿盤,S03,季節水果特調,W12,0.0535,0.1902,1.011,261.8,49.8
白酒蛤蜊義大利麵,M05,季節水果特調,W12,0.0491,0.1902,1.011,261.8,49.8
舒肥紅酒燉牛肉,M01,夏多內白酒(杯),W03,0.0789,0.3082,1.017,161.2,49.7
爐烤伊比利豬肩,M02,威士忌 Highball,W11,0.0574,0.2213,1.075,222.0,49.1
三種起司拼盤,S04,白蘇維翁(杯),W04,0.0806,0.2863,1.001,170.8,48.9
三種起司拼盤,S04,季節水果特調,W12,0.0524,0.1863,0.99,261.8,48.8
西班牙蒜辣蝦,S02,卡本內蘇維翁(杯),W02,0.069,0.2535,0.997,192.0,48.7
爐烤伊比利豬肩,M02,夏多內白酒(杯),W03,0.0784,0.3021,0.997,161.2,48.7
炙燒櫛瓜佐油醋,S07,夏多內白酒(杯),W03,0.0905,0.3015,0.995,161.2,48.6
炭烤戰斧牛排,M03,夏多內白酒(杯),W03,0.0795,0.3006,0.992,161.2,48.5
紹興油泡蝦,S01,季節水果特調,W12,0.0546,0.1854,0.985,261.8,48.5
松露薯條,S05,氣泡酒(杯),W05,0.0745,0.2538,1.432,189.0,48.0
三種起司拼盤,S04,馬爾貝克紅酒(杯),W01,0.0778,0.2765,1.121,173.6,48.0
西班牙蒜辣蝦,S02,Gin & Tonic,W08,0.0557,0.2049,1.197,234.0,47.9
松露薯條,S05,白蘇維翁(杯),W04,0.0822,0.2801,0.98,170.8,47.8
炭烤戰斧牛排,M03,威士忌 Highball,W11,0.0568,0.215,1.045,222.0,47.7
三種起司拼盤,S04,夏多內白酒(杯),W03,0.0833,0.2961,0.977,161.2,47.7
松露薯條,S05,夏多內白酒(杯),W03,0.0866,0.2951,0.974,161.2,47.6
酥炸花枝圈,S06,氣泡酒(杯),W05,0.069,0.2515,1.42,189.0,47.5
伊比利火腿盤,S03,馬爾貝克紅酒(杯),W01,0.0767,0.2725,1.105,173.6,47.3
酥炸花枝圈,S06,威士忌 Highball,W11,0.0579,0.2113,1.026,222.0,46.9
西班牙蒜辣蝦,S02,威士忌 Highball,W11,0.0574,0.211,1.025,222.0,46.8
舒肥紅酒燉牛肉,M01,季節水果特調,W12,0.0458,0.1789,0.951,261.8,46.8
松露薯條,S05,威士忌 Highball,W11,0.0618,0.2105,1.023,222.0,46.7
炙燒櫛瓜佐油醋,S07,威士忌 Highball,W11,0.0629,0.2096,1.018,222.0,46.5
炙燒櫛瓜佐油醋,S07,馬爾貝克紅酒(杯),W01,0.08,0.2665,1.08,173.6,46.3
松露野菌燉飯,M04,白蘇維翁(杯),W04,0.0673,0.267,0.934,170.8,45.6
伊比利火腿盤,S03,夏多內白酒(杯),W03,0.0795,0.2824,0.932,161.2,45.5
舒肥紅酒燉牛肉,M01,Gin & Tonic,W08,0.0497,0.194,1.134,234.0,45.4
酥炸花枝圈,S06,卡本內蘇維翁(杯),W02,0.0646,0.2354,0.925,192.0,45.2
松露野菌燉飯,M04,Gin & Tonic,W08,0.0486,0.1926,1.126,234.0,45.1
白酒蛤蜊義大利麵,M05,Gin & Tonic,W08,0.0491,0.1902,1.112,234.0,44.5
松露野菌燉飯,M04,馬爾貝克紅酒(杯),W01,0.0646,0.256,1.038,173.6,44.4
西班牙蒜辣蝦,S02,馬爾貝克紅酒(杯),W01,0.0695,0.2556,1.036,173.6,44.4
香煎鮭魚佐檸檬,M06,卡本內蘇維翁(杯),W02,0.0596,0.2298,0.903,192.0,44.1
白酒蛤蜊義大利麵,M05,威士忌 Highball,W11,0.0513,0.1987,0.965,222.0,44.1
伊比利火腿盤,S03,白蘇維翁(杯),W04,0.0723,0.2569,0.899,170.8,43.9
酥炸花枝圈,S06,馬爾貝克紅酒(杯),W01,0.069,0.2515,1.02,173.6,43.7
爐烤伊比利豬肩,M02,白蘇維翁(杯),W04,0.0662,0.2553,0.893,170.8,43.6
酥炸花枝圈,S06,Gin & Tonic,W08,0.0508,0.1851,1.082,234.0,43.3
紹興油泡蝦,S01,卡本內蘇維翁(杯),W02,0.0662,0.2247,0.883,192.0,43.1
松露薯條,S05,Gin & Tonic,W08,0.0535,0.1823,1.066,234.0,42.7
