item_id,total_units,avg_daily,std_daily,peak_daily,item_name,type,pairing_tag,price,profit_margin,unit_profit,total_profit,cum_profit_share,abc,shelf_life,lead_time,business_days
M03,528,4.125,2.626335430838108,6.357142857142857,炭烤戰斧牛排,主食,Red_Meat,880,0.35,308.0,162624.0,0.06,A,4,2,128
W07,547,4.2734375,2.866353396100798,6.357142857142857,Old Fashioned,酒水,Red_Meat,380,0.75,285.0,155895.0,0.118,A,365,5,128
S03,626,4.890625,3.2921629082068873,6.976190476190476,伊比利火腿盤,副食,Cheese,380,0.65,247.0,154622.0,0.175,A,14,3,128
S04,596,4.65625,2.7102532060574864,6.785714285714286,三種起司拼盤,副食,Cheese,340,0.66,224.4,133742.0,0.224,A,14,3,128
W06,483,3.7734375,2.5104971548613486,5.404761904761905,Negroni,酒水,Cheese,350,0.76,266.0,128478.0,0.272,A,365,5,128
S01,641,5.0078125,3.2055466047825703,7.5,紹興油泡蝦,副食,Seafood,280,0.7,196.0,125636.0,0.318,A,2,1,128
W04,711,5.5546875,3.722264558690299,8.285714285714286,白蘇維翁(杯),酒水,Seafood,280,0.61,170.8,121439.0,0.363,A,365,5,128
W03,752,5.875,3.7730916331890145,8.642857142857142,夏多內白酒(杯),酒水,Seafood,260,0.62,161.2,121222.0,0.407,A,365,5,128
W02,590,4.609375,3.1227747983075695,7.285714285714286,卡本內蘇維翁(杯),酒水,Red_Meat,320,0.6,192.0,113280.0,0.449,A,365,5,128
M02,525,4.1015625,2.7574947084136237,6.476190476190476,爐烤伊比利豬肩,主食,Red_Meat,520,0.38,197.6,103740.0,0.488,A,4,2,128
S02,582,4.546875,2.7916054562960806,6.761904761904762,西班牙蒜辣蝦,副食,Seafood,260,0.68,176.8,102898.0,0.526,A,2,1,128
W11,461,3.6015625,2.657154489357922,5.357142857142857,威士忌 Highball,酒水,Cheese,300,0.74,222.0,102342.0,0.563,A,365,5,128
W12,389,3.0390625,2.2357240675671965,4.619047619047619,季節水果特調,酒水,Universal,340,0.77,261.8,101840.0,0.601,A,365,5,128
M06,525,4.1015625,2.370553753540552,5.4523809523809526,香煎鮭魚佐檸檬,主食,Seafood,460,0.42,193.2,101430.0,0.638,A,2,1,128
M01,519,4.0546875,2.5512343584956088,5.928571428571429,舒肥紅酒燉牛肉,主食,Red_Meat,480,0.4,192.0,99648.0,0.675,A,4,2,128
W01,571,4.4609375,2.869613663673241,6.9523809523809526,馬爾貝克紅酒(杯),酒水,Red_Meat,280,0.62,173.6,99126.0,0.712,B,365,5,128
M04,503,3.9296875,2.7036970714802178,6.428571428571429,松露野菌燉飯,主食,Cheese,420,0.45,189.0,95067.0,0.747,B,14,3,128
S06,575,4.4921875,2.82841625017464,6.380952380952381,酥炸花枝圈,副食,Fried,220,0.7,154.0,88550.0,0.78,B,30,3,128
M05,508,3.96875,2.5252660263696995,5.690476190476191,白酒蛤蜊義大利麵,主食,Seafood,380,0.44,167.2,84938.0,0.811,B,2,1,128
W08,358,2.796875,1.977668136933626,4.119047619047619,Gin & Tonic,酒水,Universal,300,0.78,234.0,83772.0,0.842,B,365,5,128
S05,620,4.84375,3.1408848244268612,7.785714285714286,松露薯條,副食,Fried,180,0.72,129.6,80352.0,0.872,B,30,3,128
W05,372,2.90625,2.3725380940827936,4.619047619047619,氣泡酒(杯),酒水,Fried,300,0.63,189.0,70308.0,0.898,B,365,5,128
S07,635,4.9609375,3.123198299517698,7.714285714285714,炙燒櫛瓜佐油醋,副食,Universal,160,0.68,108.8,69088.0,0.923,C,7,2,128
W09,348,2.71875,2.03874865125452,4.357142857142857,精釀 IPA,酒水,Fried,260,0.58,150.8,52478.0,0.942,C,365,5,128
W13,349,2.7265625,1.9751002914832763,4.166666666666667,無酒精莫吉托,酒水,Universal,180,0.8,144.0,50256.0,0.961,C,365,5,128
W10,347,2.7109375,2.0472849074142037,3.9285714285714284,小麥白啤酒,酒水,Fried,240,0.57,136.8,47470.0,0.979,C,365,5,128
D01,253,1.9765625,1.518727418742726,2.9523809523809526,提拉米蘇,甜點,Dessert,180,0.65,117.0,29601.0,0.989,C,3,1,128
D02,267,2.0859375,1.4689829560607062,3.0,焦糖烤布蕾,甜點,Dessert,160,0.67,107.2,28622.0,1.0,C,3,1,128
