sku_id,category,uom,opening_stock,received_qty,qty_sold,theoretical_stock,closing_stock,variance_qty_raw,variance_ratio_legacy,unit_cost,price,store_id,on_order_qty,theoretical_cost,purchase_cost,stock_change_qty,stock_change_cost,waste_qty,waste_cost,unit_margin,margin_rate,revenue,total_margin,cost_share,margin_share,efficiency
主廚牛排,主餐,份,33,194,220,7,3,4,0.571428571428571,220,580,S01,0.0,48400,42680,-30,-6600,4,880,360,0.6206896551724138,127600,79200,0.13530324420278714,0.11639783958555315,⚠️ 成本佔比 > 毛利佔比
生啤酒(杯),酒水,杯,97,681,649,129,126,3,0.0232558139534884,60,180,S01,0.0,38940,40860,29,1740,3,180,120,0.6666666666666666,116820,77880,0.108857610108606,0.1144578755924606,
手工披薩,主餐,份,46,324,309,61,61,0,0.0,130,380,S01,0.0,40170,42120,15,1950,0,0,250,0.6578947368421053,117420,77250,0.11229610164516445,0.11353198368666642,
松露薯條,前菜,份,71,497,473,95,95,0,0.0,70,220,S01,0.0,33110,34790,24,1680,0,0,150,0.6818181818181818,104060,70950,0.09255971932963393,0.1042730646287247,
海鮮燉飯,主餐,份,36,255,243,48,44,4,0.0833333333333333,150,420,S01,0.0,36450,38250,8,1200,4,600,270,0.6428571428571429,102060,65610,0.10189676138825601,0.09642502847485028,⚠️ 成本佔比 > 毛利佔比
紅酒(杯),酒水,杯,60,418,398,80,77,3,0.0375,80,220,S01,0.0,31840,33440,17,1360,3,240,140,0.6363636363636364,87560,55720,0.08900940693009798,0.0818899952235735,⚠️ 成本佔比 > 毛利佔比
炸魷魚圈,前菜,份,53,374,356,71,67,4,0.0563380281690141,85,240,S01,0.0,30260,31790,14,1190,4,340,155,0.6458333333333334,85440,55180,0.08459248284248634,0.08109637359003564,⚠️ 成本佔比 > 毛利佔比
經典調酒,酒水,杯,39,276,263,52,51,1,0.0192307692307692,90,280,S01,0.0,23670,24840,12,1080,1,90,190,0.6785714285714286,73640,49970,0.06616999566694155,0.07343939449608701,
白酒(杯),酒水,杯,46,326,310,62,57,5,0.0806451612903226,80,220,S01,0.0,24800,26080,11,880,5,400,140,0.6363636363636364,68200,43400,0.06932893504605622,0.06378366462137634,⚠️ 成本佔比 > 毛利佔比
特調調酒,酒水,杯,29,168,191,6,8,-2,-0.333333333333333,110,320,S01,0.0,21010,18480,-21,-2310,-2,-220,210,0.65625,61120,40110,0.058733908278937146,0.058948451335562334,
烤時蔬,前菜,份,45,318,303,60,57,3,0.05,55,180,S01,0.0,16665,17490,12,660,3,165,125,0.6944444444444444,54540,37875,0.04658736703800512,0.05566373957453062,
提拉米蘇,甜點,份,37,260,248,49,43,6,0.122448979591837,50,160,S01,0.0,12400,13000,6,300,6,300,110,0.6875,39680,27280,0.03466446752302811,0.04009258919057942,
