item_id,品項,類別,ABC,服務水準,日均銷量,需求波動,前置期(天),保存期(天),安全庫存,再訂購點,現有庫存,可撐天數,建議叫貨,狀態,過剩份數,廚餘成本
M03,炭烤戰斧牛排,主食,A,98%,6.4,2.6,2,4,7.6,20.3,7.0,1.1,14,🔴 立即叫貨,0.0,0.0
M02,爐烤伊比利豬肩,主食,A,98%,6.5,2.8,2,4,8.0,20.9,5.0,0.8,16,🔴 立即叫貨,0.0,0.0
S02,西班牙蒜辣蝦,副食,A,98%,6.8,2.8,1,2,5.7,12.5,5.0,0.7,8,🔴 立即叫貨,0.0,0.0
M01,舒肥紅酒燉牛肉,主食,A,98%,5.9,2.6,2,4,7.4,19.3,5.0,0.8,15,🔴 立即叫貨,0.0,0.0
M04,松露野菌燉飯,主食,B,95%,6.4,2.7,3,14,7.7,27.0,18.0,2.8,10,🔴 立即叫貨,0.0,0.0
S06,酥炸花枝圈,副食,B,95%,6.4,2.8,3,30,8.1,27.2,14.0,2.2,14,🔴 立即叫貨,0.0,0.0
S03,伊比利火腿盤,副食,A,98%,7.0,3.3,3,14,11.7,32.6,27.0,3.9,6,🟡 低於安全庫存,0.0,0.0
S04,三種起司拼盤,副食,A,98%,6.8,2.7,3,14,9.6,30.0,24.0,3.5,6,🟡 低於安全庫存,0.0,0.0
S01,紹興油泡蝦,副食,A,98%,7.5,3.2,1,2,6.6,14.1,10.0,1.3,5,🟡 低於安全庫存,0.0,0.0
M06,香煎鮭魚佐檸檬,主食,A,98%,5.5,2.4,1,2,4.9,10.3,7.0,1.3,4,🟡 低於安全庫存,0.0,0.0
M05,白酒蛤蜊義大利麵,主食,B,95%,5.7,2.5,1,2,4.2,9.9,7.0,1.2,3,🟡 低於安全庫存,0.0,0.0
S05,松露薯條,副食,B,95%,7.8,3.1,3,30,9.0,32.3,26.0,3.3,7,🟡 低於安全庫存,0.0,0.0
W07,Old Fashioned,酒水,A,98%,6.4,2.9,5,365,13.1,44.9,76.0,12.0,0,🟢 庫存充足,0.0,0.0
W06,Negroni,酒水,A,98%,5.4,2.5,5,365,11.5,38.5,50.0,9.3,0,🟢 庫存充足,0.0,0.0
W04,白蘇維翁(杯),酒水,A,98%,8.3,3.7,5,365,17.1,58.5,122.0,14.7,0,🟢 庫存充足,0.0,0.0
W03,夏多內白酒(杯),酒水,A,98%,8.6,3.8,5,365,17.3,60.5,131.0,15.2,0,🟢 庫存充足,0.0,0.0
W02,卡本內蘇維翁(杯),酒水,A,98%,7.3,3.1,5,365,14.3,50.7,63.0,8.6,0,🟢 庫存充足,0.0,0.0
W11,威士忌 Highball,酒水,A,98%,5.4,2.7,5,365,12.2,39.0,87.0,16.2,0,🟢 庫存充足,0.0,0.0
W12,季節水果特調,酒水,A,98%,4.6,2.2,5,365,10.2,33.3,62.0,13.4,0,🟢 庫存充足,0.0,0.0
W01,馬爾貝克紅酒(杯),酒水,B,95%,7.0,2.9,5,365,10.6,45.3,67.0,9.6,0,🟢 庫存充足,0.0,0.0
W08,Gin & Tonic,酒水,B,95%,4.1,2.0,5,365,7.3,27.9,57.0,13.8,0,🟢 庫存充足,0.0,0.0
W05,氣泡酒(杯),酒水,B,95%,4.6,2.4,5,365,8.8,31.8,48.0,10.4,0,🟢 庫存充足,0.0,0.0
S07,炙燒櫛瓜佐油醋,副食,C,90%,7.7,3.1,2,7,5.7,21.1,59.0,7.6,0,🟢 庫存充足,5.0,256.0
W09,精釀 IPA,酒水,C,90%,4.4,2.0,5,365,5.8,27.6,117.0,26.9,0,🟢 庫存充足,0.0,0.0
W13,無酒精莫吉托,酒水,C,90%,4.2,2.0,5,365,5.7,26.5,111.0,26.6,0,🟢 庫存充足,0.0,0.0
W10,小麥白啤酒,酒水,C,90%,3.9,2.0,5,365,5.9,25.5,78.0,19.9,0,🟢 庫存充足,0.0,0.0
D01,提拉米蘇,甜點,C,90%,3.0,1.5,1,3,1.9,4.9,7.0,2.4,0,🟢 庫存充足,0.0,0.0
D02,焦糖烤布蕾,甜點,C,90%,3.0,1.5,1,3,1.9,4.9,5.0,1.7,0,🟢 庫存充足,0.0,0.0
