store_id,sku_id,category,abc_class,xyz_class,service_level,demand_avg,demand_std,cv,lead_time_days,predicted_qty_p50_lt,predicted_qty_p90_lt,safety_stock_qty,reorder_point,target_level_S,current_stock,on_order_qty,order_qty_raw,recommended_order_qty,moq,pack_size,shelf_life_days,review_cycle_days,exception_flag,exception_reason,data_gap_flag
S01,生啤酒(杯),酒水,A,X,98%,20.9,4.3,0.2,5,101.5,115.3,55.1,156.6,177.5,126,0.0,51.5,60,12,12,365,1,False,,True
S01,特調調酒,酒水,B,X,95%,6.2,2.1,0.35,5,31.0,40.7,14.5,45.5,51.7,8,0.0,43.7,48,12,12,365,3,False,,True
S01,紅酒(杯),酒水,A,X,98%,12.8,3.2,0.25,5,63.0,78.0,34.9,97.9,110.7,77,0.0,33.7,36,12,12,365,1,False,,True
S01,白酒(杯),酒水,A,X,98%,10.0,2.2,0.22,5,52.0,63.2,26.6,78.6,88.6,57,0.0,31.6,36,12,12,365,1,False,,True
S01,經典調酒,酒水,B,X,95%,8.5,2.3,0.27,5,42.0,52.7,18.8,60.8,69.3,51,0.0,18.3,24,12,12,365,3,False,,True
S01,主廚牛排,主餐,A,X,98%,7.1,1.9,0.27,2,16.0,19.7,10.3,26.3,33.4,3,0.0,30.4,18,10,5,3,1,True,"受保存期 3 天限制,由 35 降為 18(超額部分將成廚餘)",True
S01,手工披薩,主餐,A,X,98%,10.0,2.6,0.26,2,19.5,24.4,14.4,33.9,43.9,61,0.0,0.0,0,10,5,3,1,False,,True
S01,海鮮燉飯,主餐,A,X,98%,7.8,2.3,0.29,2,17.5,22.4,11.7,29.2,37.0,44,0.0,0.0,0,10,5,3,1,False,,True
S01,松露薯條,前菜,A,X,98%,15.3,3.2,0.21,2,32.0,36.4,18.1,50.1,65.4,95,0.0,0.0,0,20,10,5,1,False,,True
S01,炸魷魚圈,前菜,A,X,98%,11.5,2.6,0.23,2,26.0,29.8,14.0,40.0,51.5,67,0.0,0.0,0,20,10,5,1,False,,True
S01,烤時蔬,前菜,C,X,90%,9.8,2.8,0.28,2,18.5,23.4,8.0,26.5,36.3,57,0.0,0.0,0,20,10,5,7,False,,True
S01,提拉米蘇,甜點,C,X,90%,8.0,2.3,0.29,1,8.0,11.7,4.3,12.3,20.3,43,0.0,0.0,0,12,6,3,7,False,,True
