sku_id,category,uom,opening_stock,received_qty,qty_sold,theoretical_stock,closing_stock,variance_qty_raw,variance_ratio_legacy,unit_cost,price,store_id,on_order_qty,actual_usage,theoretical_usage,variance_qty,variance_ratio,stock_variance_qty,waste_cost,alert_level,alert_reason,anomaly_score,anomaly_flag,avg_daily,days_of_cover,stockout_risk
生啤酒(杯),酒水,杯,97,681,649,129,126,3,0.0232558139534884,60,180,S01,0.0,652,649,3,0.004622496147919877,3,180,低,差異率在正常範圍內,,False,20.93548387096774,6.02,🟢 充足
紅酒(杯),酒水,杯,60,418,398,80,77,3,0.0375,80,220,S01,0.0,401,398,3,0.007537688442211055,3,240,低,差異率在正常範圍內,,False,12.838709677419354,6.0,🟢 充足
白酒(杯),酒水,杯,46,326,310,62,57,5,0.0806451612903226,80,220,S01,0.0,315,310,5,0.016129032258064516,5,400,低,差異率在正常範圍內,,False,10.0,5.7,🟢 充足
經典調酒,酒水,杯,39,276,263,52,51,1,0.0192307692307692,90,280,S01,0.0,264,263,1,0.0038022813688212928,1,90,低,差異率在正常範圍內,,False,8.483870967741936,6.01,🟢 充足
特調調酒,酒水,杯,29,168,191,6,8,-2,-0.333333333333333,110,320,S01,0.0,189,191,-2,-0.010471204188481676,-2,-220,低,差異率在正常範圍內,,False,6.161290322580645,1.3,🟡 不足 3 日
松露薯條,前菜,份,71,497,473,95,95,0,0.0,70,220,S01,0.0,473,473,0,0.0,0,0,低,差異率在正常範圍內,,False,15.258064516129032,6.23,🟢 充足
炸魷魚圈,前菜,份,53,374,356,71,67,4,0.0563380281690141,85,240,S01,0.0,360,356,4,0.011235955056179775,4,340,低,差異率在正常範圍內,,False,11.483870967741936,5.83,🟢 充足
烤時蔬,前菜,份,45,318,303,60,57,3,0.05,55,180,S01,0.0,306,303,3,0.009900990099009901,3,165,低,差異率在正常範圍內,,False,9.774193548387096,5.83,🟢 充足
主廚牛排,主餐,份,33,194,220,7,3,4,0.571428571428571,220,580,S01,0.0,224,220,4,0.01818181818181818,4,880,低,差異率在正常範圍內,,False,7.096774193548387,0.42,🔴 不足 1 日
海鮮燉飯,主餐,份,36,255,243,48,44,4,0.0833333333333333,150,420,S01,0.0,247,243,4,0.01646090534979424,4,600,低,差異率在正常範圍內,,False,7.838709677419355,5.61,🟢 充足
手工披薩,主餐,份,46,324,309,61,61,0,0.0,130,380,S01,0.0,309,309,0,0.0,0,0,低,差異率在正常範圍內,,False,9.96774193548387,6.12,🟢 充足
提拉米蘇,甜點,份,37,260,248,49,43,6,0.122448979591837,50,160,S01,0.0,254,248,6,0.024193548387096774,6,300,低,差異率在正常範圍內,,False,8.0,5.38,🟢 充足
